,state,type,clust
TNWHO,TN,WHO,t
TNPRO,TN,PRO,e
TNGOV,TN,GOV,y
TNCON,TN,CON,j
TXINF,TX,INF,h
TXAGR,TX,AGR,b
TXRET,TX,RET,f
TXTRA,TX,TRA,h
TXNDU,TX,NDU,c
TXHLT,TX,HLT,e
TXDUR,TX,DUR,i
TXACC,TX,ACC,f
TXUTI,TX,UTI,g
TXMNG,TX,MNG,e
TXADM,TX,ADM,i
TXMIN,TX,MIN,f
TXRER,TX,RER,i
TXEDC,TX,EDC,k
TXART,TX,ART,f
TXOTH,TX,OTH,t
TXFIN,TX,FIN,f
TXWHO,TX,WHO,i
TXPRO,TX,PRO,e
TXGOV,TX,GOV,e
TXCON,TX,CON,t
UTINF,UT,INF,h
UTAGR,UT,AGR,f
UTRET,UT,RET,t
UTTRA,UT,TRA,h
UTNDU,UT,NDU,p
UTHLT,UT,HLT,e
UTDUR,UT,DUR,p
UTACC,UT,ACC,t
UTUTI,UT,UTI,i
UTMNG,UT,MNG,f
UTADM,UT,ADM,f
UTMIN,UT,MIN,q
UTRER,UT,RER,e
UTEDC,UT,EDC,e
UTART,UT,ART,f
UTOTH,UT,OTH,t
UTFIN,UT,FIN,n
UTWHO,UT,WHO,t
UTPRO,UT,PRO,e
UTGOV,UT,GOV,p
UTCON,UT,CON,o
VTINF,VT,INF,p
VTAGR,VT,AGR,y
VTRET,VT,RET,a
VTTRA,VT,TRA,s
VTNDU,VT,NDU,o
VTHLT,VT,HLT,e
VTDUR,VT,DUR,x
VTACC,VT,ACC,w
VTUTI,VT,UTI,q
VTMNG,VT,MNG,i
VTADM,VT,ADM,i
VTMIN,VT,MIN,b
VTRER,VT,RER,k
VTEDC,VT,EDC,h
VTART,VT,ART,i
VTOTH,VT,OTH,j
VTFIN,VT,FIN,n
VTWHO,VT,WHO,w
VTPRO,VT,PRO,e
VTGOV,VT,GOV,p
VTCON,VT,CON,d
VAINF,VA,INF,r
VAAGR,VA,AGR,b
VARET,VA,RET,a
VATRA,VA,TRA,c
VANDU,VA,NDU,x
VAHLT,VA,HLT,e
VADUR,VA,DUR,c
VAACC,VA,ACC,v
VAUTI,VA,UTI,g
VAMNG,VA,MNG,w
VAADM,VA,ADM,i
VAMIN,VA,MIN,s
VARER,VA,RER,k
VAEDC,VA,EDC,l
VAART,VA,ART,p
VAOTH,VA,OTH,d
VAFIN,VA,FIN,n
VAWHO,VA,WHO,t
VAPRO,VA,PRO,k
VAGOV,VA,GOV,e
VACON,VA,CON,j
WAINF,WA,INF,h
WAAGR,WA,AGR,f
WARET,WA,RET,t
WATRA,WA,TRA,h
WANDU,WA,NDU,r
WAHLT,WA,HLT,e
WADUR,WA,DUR,i
WAACC,WA,ACC,t
WAUTI,WA,UTI,g
WAMNG,WA,MNG,f
WAADM,WA,ADM,e
WAMIN,WA,MIN,j
WARER,WA,RER,e
WAEDC,WA,EDC,k
