,ACC,ADM,AGR,ART,CON,DUR,EDC,FIN,GOV,HLT,INF,MIN,MNG,NDU,OTH,PRO,RER,RET,TRA,UTI,WHO
2014-04-01,466582.5,494201.4,207173.30000000002,180676.0,573596.3999999999,1089101.5000000002,208432.30000000002,1151159.2000000002,1991480.7000000002,1224112.8,833950.7,395688.5,331539.10000000003,923241.2999999998,345669.3,1203000.5000000005,2158298.0,950919.3999999999,486847.4999999999,261014.0,1045794.0000000002
2014-07-01,473601.59999999986,498896.79999999993,210727.40000000002,182690.19999999995,573428.9999999998,1115908.5000000002,209613.30000000005,1148901.7999999998,1991657.5999999996,1241816.9000000001,840607.0999999999,417271.0,340213.49999999994,905730.2999999998,351311.59999999986,1240990.5999999999,2181658.7,956437.1999999997,499482.69999999995,270895.30000000005,1082135.8
2014-10-01,475753.89999999997,502199.00000000006,217417.7,181997.69999999998,580826.2000000002,1110483.0000000002,209289.7,1162599.5999999996,1991062.8,1251804.4000000001,855304.5999999999,447790.3,341273.6,895116.8,351166.3,1242603.4000000004,2188016.6999999993,950584.5999999995,498125.8000000001,267963.0999999999,1087657.5999999996
2015-01-01,481677.30000000005,502177.3,218702.19999999992,177986.3999999999,585389.5,1112981.8000000003,209799.20000000004,1181710.9000000001,1985722.4000000001,1265259.4000000004,889240.2999999999,470908.60000000015,342264.5999999999,922165.8000000002,350204.3999999999,1250473.5000000002,2198073.4999999995,966257.2999999999,492379.3,251433.60000000003,1094592.4999999998
2015-04-01,487131.5,504847.10000000003,220121.4,177162.59999999998,597694.0000000001,1113849.2999999998,210456.50000000006,1210850.4000000001,1993364.8,1274559.7000000002,919843.9000000001,428969.29999999993,340937.9000000001,913502.2999999998,351672.50000000006,1260357.0999999999,2205804.9,977799.7999999997,504415.5999999998,264659.30000000005,1112238.7
2015-07-01,490297.7,509693.5999999999,227661.39999999997,177458.20000000004,602093.8000000002,1113818.4000000001,211370.2,1162124.1999999997,1996603.4000000004,1282172.6000000003,946347.1000000001,447170.9,343809.10000000003,903727.4,348940.3,1272584.2999999996,2221243.1999999997,990353.9999999998,511337.29999999993,267404.7,1103475.8000000003
2015-10-01,489044.59999999986,510320.3999999999,226885.09999999998,177246.90000000002,605227.0999999997,1104292.3,212346.39999999997,1159530.0999999999,1999314.2999999996,1285295.4,982695.8000000003,452671.39999999997,343798.9999999999,884732.8999999997,347746.5,1274364.7000000007,2228347.4,990113.2000000002,507309.1000000001,265683.3,1100088.3
2016-01-01,486202.0999999999,507233.19999999995,231528.8,178521.0,616861.3999999999,1102248.0000000005,214086.49999999997,1149107.5000000002,2004343.5000000002,1302320.1999999993,1004584.5000000002,480142.39999999997,342943.70000000007,895063.5000000001,347054.7,1283582.5,2236495.3,1008168.9,498437.4000000001,272462.99999999994,1075916.9000000001
2016-04-01,485266.39999999997,510053.1999999999,235090.60000000003,179717.40000000005,615578.5999999999,1104312.9000000004,214091.39999999994,1174001.3,2009286.0,1311289.5999999999,1025252.0,422318.4000000001,343327.2,895562.9000000001,347008.3,1291447.4,2259374.0999999996,1012489.1000000002,510319.29999999993,275138.4,1085856.5999999999
2016-07-01,487090.4,513611.3,234240.7,181449.30000000005,618297.6000000002,1110938.2000000004,212910.8,1191533.0,2019982.3000000007,1307662.1999999997,1046021.2000000002,408425.0,346474.49999999994,884934.2000000001,347379.59999999986,1291378.6,2255788.0000000005,1020915.0000000001,511525.60000000015,278020.6,1100799.5
2016-10-01,489784.0999999999,519424.8999999999,230935.40000000002,185632.00000000003,620305.5000000001,1109295.1,213976.50000000003,1200409.4000000001,2023870.7999999998,1321617.0000000002,1055645.8000000003,402175.0,351852.1,870518.2999999999,347108.9999999999,1306697.1999999997,2252367.6999999997,1033216.2000000001,518817.7999999999,276240.8,1098064.0999999994
2017-01-01,491560.50000000006,529178.2,228507.68,182032.89999999997,622657.6266666665,1119080.6000000003,208504.69999999995,1180613.4000000001,2029752.9,1331027.5999999999,1063810.3000000003,406339.5000000001,357768.4999999999,897443.6599999999,345515.19999999995,1313033.5,2262376.1000000006,1036709.8000000002,523951.89999999997,268930.19999999995,1102715.3
2017-04-01,493801.10000000003,535537.3999999999,223955.6571428572,186708.39999999997,618249.057142857,1131498.3714285714,208493.3000000001,1154046.7,2030168.5000000002,1340515.5999999996,1094436.8999999997,433742.20000000007,362931.3000000001,901603.0142857146,347893.89999999985,1333266.0000000005,2273399.9999999995,1052494.4999999998,529299.7,274988.00000000006,1110427.5999999999
2017-07-01,493166.0,540500.9999999999,218332.03333333338,192058.19999999998,619722.8333333331,1148037.8333333333,210071.7,1164294.0999999999,2031755.5000000005,1343836.1000000003,1123150.0999999999,448331.69999999995,372270.2,888812.5333333334,350504.1,1345720.0999999996,2274389.6,1072647.0999999999,534099.2,270476.5,1115159.1
2017-10-01,493224.30000000016,544212.8000000002,215497.4333333332,190234.5,629843.3333333334,1167987.5333333334,210624.89999999994,1140734.4999999998,2032273.2000000002,1350588.0,1142803.9999999998,442481.00000000006,381807.30000000005,903295.8333333329,351331.79999999993,1357592.9000000001,2285560.099999999,1075941.1000000003,533820.4,276046.10000000003,1125971.4000000004
2018-01-01,489825.20000000007,545496.6000000001,210402.93333333335,187779.3,636096.6333333332,1181437.2333333334,212151.30000000005,1124975.9000000001,2027568.8999999997,1365902.8000000005,1154623.7999999998,421700.19999999995,380052.60000000003,929731.5333333334,351231.7,1377675.4000000004,2300766.2999999993,1095724.2999999998,542213.0000000001,270929.99999999994,1128284.5
2018-04-01,496714.8,553559.7000000001,215159.7333333333,192101.49999999997,640144.5333333336,1202198.9333333336,211886.9,1119453.6000000006,2030508.9999999998,1381562.8000000003,1191682.1000000008,433766.70000000007,384540.4000000001,921161.733333333,354848.99999999994,1408783.1,2330584.9000000004,1092926.1999999995,541896.0,283010.4,1135510.6999999997
